" PROJECT GANTT CHART",,,,,,,,,,,,
"For tracking progress at each stage of the project
",,,,,,,,,,,,
"  TASKS",OWNER,"WEEK OF 27 OCTOBER",,,,,"WEEK OF 15 NOVEMBER",,,,,
,,"Oct 27, 2025","Oct 29, 2025","Nov 1, 2025","Nov 6, 2025","Nov 7, 2025","Nov 9, 2025","Nov 11, 2025","Nov 13, 2025",,,
,,M,W,S,TH,F,M,T,W,,,
"Miro mindmap",,,,,,,,,,,,
"Create a readme on github",,,,,,,,,,,,
"Code databricks",,,,,,,,,,,,
"Make pivoc table",,,,,,,,,,,,
"Powerpoint presentation",,,,,,,,,,,,
"Building dashboard",,,,,,,,,,,,
"Final checks",,,,,,,,,,,,
