make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,total_revenue,profit_margin,profit_margin_tier,sale_month_year,sale_quarter
Ford,Focus,SE,sedan,automatic,1fahp35n18w136995,ca,34,102945,white,black,elite auto sales/leasing,4175,5100,Wed May 27 2015 05:30:00,5100,0.18137254901960784,Medium,May 2015,2
Ford,F-450 Super Duty,XL,crew cab,automatic,1ftxw43r28eb03837,tx,36,88065,white,tan,texas direct auto,25100,23500,Thu May 28 2015 03:30:00,23500,-0.06808510638297872,Low,May 2015,2
Ford,F-250 Super Duty,XLT,supercab,automatic,1ftsx21rx8eb54808,ga,31,120862,silver,gray,tomlinson auto sales leasing account,13600,15000,Thu Jun 04 2015 03:00:00,15000,0.09333333333333334,Low,June 2015,2
Ford,Ranger,SPORT,supercab,Unknown,1ftyr14u38pa75614,in,19,59905,gray,gray,santander consumer,9525,6600,Thu May 28 2015 03:10:00,6600,-0.4431818181818182,Low,May 2015,2
Ford,F-250 Super Duty,Lariat,supercab,Unknown,1ftsx21r18ea67153,nc,43,116606,blue,beige,crossroads ford of wake forest inc,19350,21700,Mon Jun 01 2015 02:00:00,21700,0.10829493087557604,Medium,June 2015,2
Ford,F-250 Super Duty,FX4,crew cab,automatic,1ftsw21r48ed06505,ca,41,110861,white,black,las vegas motor company,21600,21000,Wed May 27 2015 05:30:00,21000,-0.02857142857142857,Low,May 2015,2
Ford,Ranger,SPORT,SuperCab,automatic,1ftyr44e38pa09753,mi,26,108169,red,black,automobiles paille inc,7425,5700,Thu May 28 2015 02:30:00,5700,-0.3026315789473684,Low,May 2015,2
Ford,F-250 Super Duty,XL,crew cab,automatic,1ftsw21r98ed30590,tx,2,164581,white,gray,tdaf remarketing,9275,8000,Wed May 27 2015 03:15:00,8000,-0.159375,Low,May 2015,2
Ford,Mustang,Deluxe,convertible,automatic,1zvht84nx85165578,il,19,114616,red,gray,nationwide acceptance,5250,4800,Thu May 28 2015 07:00:00,4800,-0.09375,Low,May 2015,2
Ford,Focus,SE,sedan,Unknown,1fahp35n98w203441,pa,34,27643,gray,gray,superior credit union,6650,7000,Tue Jun 02 2015 02:30:00,7000,0.05,Low,June 2015,2
Ford,Focus,SE,sedan,automatic,1fahp35n78w108893,nc,27,150574,silver,gray,credit acceptance corp/vrs/southfield,2625,2500,Mon Jun 01 2015 02:30:00,2500,-0.05,Low,June 2015,2
Ford,F-450 Super Duty,XL,crew cab,automatic,1ftxw43r18ea99750,az,21,88984,burgundy,brown,earnhardt,24700,25000,Thu Jun 04 2015 05:00:00,25000,0.012,Low,June 2015,2
Ford,F-350 Super Duty,XLT,crew cab,automatic,1ftww33r78eb57818,mi,36,140132,white,tan,grace motors,14700,14000,Thu May 28 2015 02:30:00,14000,-0.05,Low,May 2015,2
Ford,F-150,XL,supercab,automatic,1ftpx145x8fa87095,tx,32,132044,white,gray,j & j auto & truck sales,9250,8400,Wed May 27 2015 03:20:00,8400,-0.10119047619047619,Low,May 2015,2
Ford,F-150,XL,regular cab,automatic,1ftrf12258ke33470,il,19,24374,white,gray,allard rental corporation,9350,7600,Thu Jun 11 2015 03:00:00,7600,-0.23026315789473684,Low,June 2015,2
Ford,F-250 Super Duty,FX4,crew cab,automatic,1ftsw21rx8eb62183,ca,46,38780,white,black,aaero sweet corporation,28600,31250,Thu May 28 2015 04:30:00,31250,0.0848,Low,May 2015,2
Ford,Ranger,XL,supercab,automatic,1ftzr15e58pb02372,nc,19,57678,white,black,crossroads ford of fuquay-varina,9900,9100,Mon Jun 01 2015 02:00:00,9100,-0.08791208791208792,Low,June 2015,2
Ford,Taurus,SEL,sedan,automatic,1fahp24w08g146805,fl,25,155798,green,tan,lease & rental management,3800,1600,Thu May 28 2015 02:35:00,1600,-1.375,Low,May 2015,2
GMC,Acadia,SLE-1,suv,automatic,1gker13778j291942,az,19,96588,silver,black,gm financial,10350,9100,Thu May 28 2015 05:00:00,9100,-0.13736263736263737,Low,May 2015,2
